fr,gloss,category,gloss_rules,match
Vous lisez un article.,IX-2-PL ARTICLE LIRE,phrases_simples,IX-2-PL ARTICLE LIRE,True
Ils jouent au rugby.,IX-3-PL RUGBY JOUER,phrases_simples,IX-3-PL RUGBY JOUER,True
Je ne veux pas sortir ce soir.,IX-1 SORTIR VOULOIR SOIR PAS,negations,SOIR IX-1 VOULOIR SORTIR PAS,False
Elle ne lit plus de livres.,IX-3 LIVRE LIRE PLUS,negations,IX-3 LIVRE+ LIRE PLUS,False
Nous n'avons plus de pain.,IX-1-PL PAIN AVOIR PLUS,negations,IX-1-PL PAIN AVOIR PLUS,True
Tu ne bois jamais de lait.,IX-2 LAIT BOIRE JAMAIS,negations,JAMAIS TU LAIT BOIRE,False
Ils ne regardent pas la télévision.,IX-3-PL TÉLÉVISION REGARDER PAS,negations,IX-3-PL TÉLÉVISION REGARDER PAS,True
Je ne mange pas de viande.,IX-1 VIANDE MANGER PAS,negations,IX-1 VIANDE MANGER PAS,True
Elle ne va plus à l'école.,IX-3 ÉCOLE ALLER PLUS,negations,IX-3 ÉCOLE ALLER PLUS,True
Nous ne jouons plus au football.,IX-1-PL FOOTBALL JOUER PLUS,negations,IX-1-PL FOOTBALL JOUER PLUS,True
Tu ne bois pas d'eau.,IX-2 EAU BOIRE PAS,negations,TU BOIS EAU PAS,False
Ils ne font plus de sport.,IX-3-PL SPORT FAIRE PLUS,negations,IX-3-PL SPORT FAIRE PLUS,True
Je ne vois pas mes parents.,IX-1 PARENT Voir PAS,negations,IX-1 POSS-1 PARENT+ VOIR PAS,False
Elle ne travaille plus dans ce bureau.,IX-3 BUREAU TRAVAIL PLUS,negations,IX-3 BUREAU TRAVAILLER PLUS,False
Nous ne mangeons plus de poisson.,IX-1-PL POISSON MANGER PLUS,negations,IX-1-PL POISSON MANGER PLUS,True
Tu ne bois pas de soda.,IX-2 SODA BOIRE PAS,negations,TU SODA BOIRE PAS,False
Ils ne jouent plus aux échecs.,IX-3-PL ÉCHEC JOUER PLUS,negations,IX-3-PL ÉCHEC+ JOUER PLUS,False
Je ne bois pas de thé.,IX-1 THÉ BOIRE PAS,negations,IX-1 THÉ BOIRE PAS,True
Elle ne va plus au cinéma.,IX-3 CINÉMA ALLER PLUS,negations,IX-3 CINÉMA ALLER PLUS,True
Nous ne mangeons plus de fruits.,IX-1-PL FRUIT MANGER PLUS,negations,IX-1-PL FRUIT+ MANGER PLUS,False
Tu ne bois pas de jus.,IX-2 JUS BOIRE PAS,negations,TU JUS BOIRE PAS,False
Ils ne jouent plus aux jeux vidéo.,IX-3-PL JEUX VIDÉO JOUER PLUS,negations,IX-3-PL VIDÉO JEU+ JOUER PLUS,False
Je ne bois pas de café.,IX-1 CAFÉ BOIRE PAS,negations,IX-1 CAFÉ BOIRE PAS,True
Elle ne va plus à la plage.,IX-3 PLAGE ALLER PLUS,negations,IX-3 PLAGE ALLER PLUS,True
Nous ne mangeons plus de légumes.,IX-1-PL LÉGUME MANGER PLUS,negations,IX-1-PL LÉGUME+ MANGER PLUS,False
Tu ne bois pas de chocolat chaud.,IX-2 CHOCOLAT CHAUD BOIRE PAS,negations,TU CHOCOLAT CHAUD BOIRE PAS,False
Ils ne jouent plus aux cartes.,IX-3-PL CARTE JOUER PLUS,negations,IX-3-PL CARTE+ JOUER PLUS,False
Je ne bois pas de limonade.,IX-1 LIMONADE BOIRE PAS,negations,IX-1 LIMONADE BOIRE PAS,True
Elle ne va plus à la piscine.,IX-3 PISCINE ALLER PLUS,negations,IX-3 PISCINE ALLER PLUS,True
Nous ne mangeons plus de riz.,IX-1-PL RIZ MANGER PLUS,negations,IX-1-PL RIZ MANGER PLUS,True
Tu ne bois pas de vin.,IX-2 VIN BOIRE PAS,negations,TU VIN BOIRE PAS,False
Ils ne jouent plus aux jeux de société.,IX-3-PL JEUX SOCIÉTÉ JOUER PLUS,negations,IX-3-PL SOCIÉTÉ JEU+ JOUER PLUS,False
Je ne bois pas de bière.,IX-1 BIÈRE BOIRE PAS,negations,IX-1 BIÈRE BOIRE PAS,True
Elle ne va plus au parc.,IX-3 PARC ALLER PLUS,negations,IX-3 PARC ALLER PLUS,True
Nous ne mangeons plus de pâtes.,IX-1-PL PÂTE MANGER PLUS,negations,IX-1-PL PÂTE+ MANGER PLUS,False
Tu ne bois pas de jus d'orange.,IX-2 JUS ORANGE BOIRE PAS,negations,TU ORANGE JUS BOIRE PAS,False
Ils ne jouent plus aux jeux de rôle.,IX-3-PL JEUX RÔLE JOUER PLUS,negations,IX-3-PL RÔLE JEU+ JOUER PLUS,False
Je ne bois pas de soda.,IX-1 SODA BOIRE PAS,negations,IX-1 BOIS+ SODA PAS,False
Elle ne va plus à la montagne.,IX-3 MONTAGNE ALLER PLUS,negations,IX-3 MONTAGNE ALLER PLUS,True
Nous ne mangeons plus de soupe.,IX-1-PL SOUPE MANGER PLUS,negations,IX-1-PL SOUPE MANGER PLUS,True
Tu ne bois pas de thé vert.,IX-2 THÉ VERT BOIRE PAS,negations,TU THÉ VERT BOIRE PAS,False
Je ne bois pas de lait.,IX-1 LAIT BOIRE PAS,negations,IX-1 LAIT BOIRE PAS,True
Elle ne va plus à la campagne.,IX-3 CAMPAGNE ALLER PLUS,negations,IX-3 CAMPAGNE ALLER PLUS,True
Nous ne mangeons plus de pain.,IX-1-PL PAIN MANGER PLUS,negations,IX-1-PL PAIN MANGER PLUS,True
Tu ne bois pas de jus de pomme.,IX-2 JUS POMME BOIRE PAS,negations,TU POMME JUS BOIRE PAS,False
Ils ne jouent plus aux jeux de cartes.,IX-3-PL JEUX CARTE JOUER PLUS,negations,IX-3-PL CARTE+ JEU+ JOUER PLUS,False
Je ne bois pas de jus de raisin.,IX-1 JUS RAISIN BOIRE PAS,negations,IX-1 RAISIN JUS BOIRE PAS,False
Elle ne va plus à la mer.,IX-3 MER ALLER PLUS,negations,IX-3 MER ALLER PLUS,True
Nous ne mangeons plus de viande.,IX-1-PL VIANDE MANGER PLUS,negations,IX-1-PL VIANDE MANGER PLUS,True
Qui est là ?,IX-3 QUI,questions,LÀ ÊTRE ?,False
Qu'est-ce que tu fais ?,IX-2 FAIRE QUOI,questions,IX-2 FAIRE ?,False
Où vas-tu ?,IX-2 ALLER OÙ,questions,- TU ALLER OÙ,False
Quand est-ce que tu viens ?,IX-2 VENIR QUAND,questions,IX-2 VIEN QUAND,False
Comment ça va ?,ALLER COMMENT,questions,IX-3 ALLER COMMENT,False
Pourquoi tu es triste ?,IX-2 TRISTE POURQUOI,questions,IX-2 TRISTE POURQUOI,True
Combien de frères et sœurs as-tu ?,FRÈRE SOEUR COMBIEN IX-2 AVOIR,questions,FRÈRE+ SŒUR+ TU A COMBIEN,False
Qui est ton professeur ?,PROFESSEUR IX-2 QUI,questions,POSS-2 PROFESSEUR ?,False
Qu'est-ce que tu manges ?,IX-2 MANGER QUOI,questions,MANGER TAIRE ?,False
Où est la bibliothèque ?,BIBLIOTHÈQUE OÙ,questions,BIBLIOTHÈQUE OÙ,True
Quand est ton anniversaire ?,ANNIVERSAIRE IX-2 QUAND,questions,POSS-2 ANNIVERSAIRE QUAND,False
Comment tu vas à l'école ?,IX-2 ALLER ÉCOLE COMMENT,questions,IX-2 ÉCOLE ALLER COMMENT,False
Pourquoi tu ne viens pas ?,IX-2 VENIR POURQUOI NON,questions,IX-2 VENIR PAS POURQUOI,False
Combien de temps tu restes ?,TEMPS COMBIEN IX-2 RESTER,questions,TEMPS+ TU RESTER COMBIEN,False
Qui est ton ami ?,AMI IX-2 QUI,questions,POSS-2 AMI ?,False
Qu'est-ce que tu bois ?,IX-2 BOIRE QUOI,questions,IX-2 BOIS ?,False
Où est la pharmacie ?,PHARMACIE OÙ,questions,PHARMACIE OÙ,True
Quand tu pars ?,IX-2 PARTIR QUAND,questions,IX-2 PAR QUAND,False
Comment tu te sens ?,IX-2 SENTIR COMMENT,questions,IX-2 IX-2 SENTIR COMMENT,False
Pourquoi tu es en retard ?,IX-2 RETARD POURQUOI,questions,TAIRE RETARD POURQUOI,False
Combien de pommes tu veux ?,POMME COMBIEN IX-2 VOULOIR,questions,POMME+ TU VOULOIR COMBIEN,False
Qui est ton voisin ?,VOISIN IX-2 QUI,questions,POSS-2 VOISIN ?,False
Qu'est-ce que tu écoutes ?,IX-2 ÉCOUTER QUOI,questions,TAIRE ÉCOUTE+ ?,False
Où est la poste ?,POSTE OÙ,questions,POSTE OÙ,True
Quand tu arrives ?,IX-2 ARRIVER QUAND,questions,IX-2 ARRIVER QUAND,True
Comment tu t'appelles ?,IX-2 APPELER COMMENT,questions,TU IX-2 APPELER COMMENT,False
Pourquoi tu ris ?,IX-2 RIRE POURQUOI,questions,IX-2 RIRE POURQUOI,True
Combien de livres tu as ?,LIVRE COMBIEN IX-2 AVOIR,questions,IX-2 LIVRE+ AVOIR COMBIEN,False
Qui est ton frère ?,FRÈRE IX-2 QUI,questions,POSS-2 FRÈRE ?,False
Qu'est-ce que tu regardes ?,IX-2 REGARDER QUOI,questions,IX-2 REGARDE ?,False
Où est la gare ?,GARE OÙ,questions,GARE OÙ,True
Quand tu rentres ?,IX-2 RENTRER QUAND,questions,IX-2 RENTRER QUAND,True
Comment tu vas ?,IX-2 ALLER COMMENT,questions,IX-2 ALLER COMMENT,True
Pourquoi tu cries ?,IX-2 CRIER POURQUOI,questions,CRIER TAIRE POURQUOI,False
Combien de frères tu as ?,FRÈRE COMBIEN IX-2 AVOIR,questions,IX-2 FRÈRE+ AVOIR COMBIEN,False
Qui est ton père ?,PÈRE IX-2 QUI,questions,POSS-2 PÈRE ?,False
Qu'est-ce que tu écris ?,IX-2 ÉCRIRE QUOI,questions,IX-2 ÉCRIRE ?,False
Où est l'hôpital ?,HÔPITAL OÙ,questions,HÔPITAL OÙ,True
Quand tu manges ?,IX-2 MANGER QUAND,questions,IX-2 MANGER QUAND,True
Comment tu travailles ?,IX-2 TRAVAILLER COMMENT,questions,IX-2 TRAVAILLER COMMENT,True
Pourquoi tu pleures ?,IX-2 PLEURER POURQUOI,questions,IX-2 PLEURE+ POURQUOI,False
Combien de sœurs tu as ?,SOEUR COMBIEN IX-2 AVOIR,questions,SŒUR+ IX-2 AVOIR COMBIEN,False
Qui est ta mère ?,MÈRE IX-2 QUI,questions,POSS-2 MÈRE ?,False
Qu'est-ce que tu dessines ?,IX-2 DESSINER QUOI,questions,IX-2 DESSINE ?,False
Où est le cinéma ?,CINÉMA OÙ,questions,CINÉMA OÙ,True
Quand tu dors ?,IX-2 DORMIR QUAND,questions,IX-2 DORMIR QUAND,True
Comment tu étudies ?,IX-2 ÉTUDIER COMMENT,questions,IX-2 ÉTUDIER COMMENT,True
Pourquoi tu es malade ?,IX-2 MALADE POURQUOI,questions,IX-2 MALADE POURQUOI,True
Combien de pommes tu as ?,POMME COMBIEN IX-2 AVOIR,questions,TU POMME+ AVOIR COMBIEN,False
"Hier, j'ai vu un film.",HIER IX-1 FILM VOIR,temps,HIER IX-1 FILM VOIR,True
"Demain, tu iras à l'école.",DEMAIN IX-2 ÉCOLE ALLER,temps,DEMAIN | TU ÉCOLE ALLER,False
"Maintenant, il travaille.",MAINTENANT IX-3 TRAVAILLER,temps,MAINTENANT IX-3 TRAVAILLER,True
"La semaine prochaine, nous irons à la plage.",SEMAINE-PROCHAINE IX-1-PL PLAGE ALLER,temps,SEMAINE IX-1-PL PLAGE PROCHAIN ALLER,False
"L'année dernière, elle a voyagé.",ANNÉE-DERNIÈRE IX-3 VOYAGER,temps,ANNÉE IX-3 DERNIER VOYAGER,False
"Ce matin, j'ai pris mon petit-déjeuner.",MATIN IX-1 PETIT-DÉJEUNER PRENDRE,temps,MATIN IX-1 POSS-1 PETIT-DÉJEUNER PRENDRE,False
"Ce soir, tu regarderas la télévision.",SOIR IX-2 TÉLÉVISION REGARDER,temps,SOIR IX-2 TÉLÉVISION REGARDER,True
"Plus tard, ils joueront au football.",PLUS-TARD IX-3-PL FOOTBALL JOUER,temps,TARD IX-3-PL FOOTBALL JOUER PLUS,False
"La semaine dernière, nous avons fait du shopping.",SEMAINE-DERNIÈRE IX-1-PL SHOPPING FAIRE,temps,SEMAINE IX-1-PL SHOPPING DERNIER FAIRE,False
"Demain matin, elle ira à la bibliothèque.",DEMAIN-MATIN IX-3 BIBLIOTHÈQUE ALLER,temps,DEMAIN MATIN IX-3 BIBLIOTHÈQUE ALLER,False
"Hier soir, j'ai lu un livre.",HIER-SOIR IX-1 LIVRE LIRE,temps,HIER SOIR IX-1 AVOIR LIVRE LIRE,False
"La semaine prochaine, tu iras au parc.",SEMAINE-PROCHAINE IX-2 PARC ALLER,temps,SEMAINE TU PARC PROCHAIN ALLER,False
"L'année prochaine, ils iront à l'université.",ANNÉE-PROCHAINE IX-3-PL UNIVERSITÉ ALLER,temps,ANNÉE IX-3-PL UNIVERSITÉ PROCHAIN ALLER,False
"Ce matin, tu as pris le bus.",MATIN IX-2 BUS PRENDRE,temps,MATIN IX-2 BUS PRENDRE,True
"Ce soir, nous regarderons un film.",SOIR IX-1-PL FILM REGARDER,temps,SOIR IX-1-PL FILM REGARDER,True
"Plus tard, elle jouera avec ses amis.",PLUS-TARD IX-3 AMIS JOUER,temps,TARD IX-3 POSS-3 AMI+ JOUER PLUS,False
"La semaine dernière, vous avez fait du sport.",SEMAINE-DERNIÈRE IX-2-PL SPORT FAIRE,temps,SEMAINE IX-2-PL SPORT DERNIER FAIRE,False
"Demain matin, ils iront à l'école.",DEMAIN-MATIN IX-3-PL ÉCOLE ALLER,temps,DEMAIN MATIN IX-3-PL ÉCOLE ALLER,False
"Hier soir, tu as mangé une pizza.",HIER-SOIR IX-2 PIZZA MANGER,temps,HIER SOIR IX-2 PIZZA MANGER,False
"La semaine prochaine, nous irons au cinéma.",SEMAINE-PROCHAINE IX-1-PL CINÉMA ALLER,temps,SEMAINE IX-1-PL CINÉMA PROCHAIN ALLER,False
"L'année dernière, vous avez voyagé.",ANNÉE-DERNIÈRE IX-2-PL VOYAGER,temps,ANNÉE IX-2-PL DERNIER VOYAGER,False
"Ce matin, elle a pris son petit-déjeuner.",MATIN IX-3 PETIT-DÉJEUNER PRENDRE,temps,MATIN IX-3 POSS-3 PETIT-DÉJEUNER PRENDRE,False
Je vais à la bibliothèque.,BIBLIOTHÈQUE IX-1 ALLER,lieux,IX-1 BIBLIOTHÈQUE ALLER,False
Elle est à la maison.,MAISON IX-3 ÊTRE,lieux,IX-3 MAISON,False
Nous allons au parc.,PARC IX-1-PL ALLER,lieux,IX-1-PL PARC ALLER,False
Il travaille à l'école.,ÉCOLE IX-3 TRAVAILLER,lieux,IX-3 ÉCOLE TRAVAILLER,False
Tu vas au cinéma.,CINÉMA IX-2 ALLER,lieux,TU CINÉMA ALLER,False
Ils sont à la plage.,PLAGE IX-3-PL ÊTRE,lieux,IX-3-PL PLAGE,False
Je suis à l'université.,UNIVERSITÉ IX-1 ÊTRE,lieux,IX-1 UNIVERSITÉ,False
Nous allons à la gare.,GARE IX-1-PL ALLER,lieux,IX-1-PL GARE ALLER,False
Elle est à l'hôpital.,HÔPITAL IX-3 ÊTRE,lieux,IX-3 HÔPITAL,False
Tu vas à la poste.,POSTE IX-2 ALLER,lieux,TU POSTE ALLER,False
Ils sont au stade.,STADE IX-3-PL ÊTRE,lieux,IX-3-PL STADE,False
Je suis au travail.,TRAVAIL IX-1 ÊTRE,lieux,IX-1 TRAVAIL,False
Nous allons à la piscine.,PISCINE IX-1-PL ALLER,lieux,IX-1-PL PISCINE ALLER,False
Elle est au musée.,MUSÉE IX-3 ÊTRE,lieux,IX-3 MUSÉE,False
Tu vas à la bibliothèque.,BIBLIOTHÈQUE IX-2 ALLER,lieux,TU BIBLIOTHÈQUE ALLER,False
Ils sont au parc.,PARC IX-3-PL ÊTRE,lieux,IX-3-PL PARC,False
Je suis à l'école.,ÉCOLE IX-1 ÊTRE,lieux,IX-1 ÉCOLE,False
Nous allons au cinéma.,CINÉMA IX-1-PL ALLER,lieux,IX-1-PL CINÉMA ALLER,False
Elle est à la plage.,PLAGE IX-3 ÊTRE,lieux,IX-3 PLAGE,False
Tu vas à l'université.,UNIVERSITÉ IX-2 ALLER,lieux,TU UNIVERSITÉ ALLER,False
Ils sont à la gare.,GARE IX-3-PL ÊTRE,lieux,IX-3-PL GARE,False
Je suis à l'hôpital.,HÔPITAL IX-1 ÊTRE,lieux,IX-1 HÔPITAL,False
Nous allons à la poste.,POSTE IX-1-PL ALLER,lieux,IX-1-PL POSTE ALLER,False
Elle est au stade.,STADE IX-3 ÊTRE,lieux,IX-3 STADE,False
Tu vas au travail.,TRAVAIL IX-2 ALLER,lieux,TU TRAVAIL ALLER,False
Ils sont à la piscine.,PISCINE IX-3-PL ÊTRE,lieux,IX-3-PL PISCINE,False
Je suis au musée.,MUSÉE IX-1 ÊTRE,lieux,IX-1 MUSÉE,False
Nous allons à la bibliothèque.,BIBLIOTHÈQUE IX-1-PL ALLER,lieux,IX-1-PL BIBLIOTHÈQUE ALLER,False
Elle est au parc.,PARC IX-3 ÊTRE,lieux,IX-3 PARC,False
Tu vas à l'école.,ÉCOLE IX-2 ALLER,lieux,TU ÉCOLE ALLER,False
Ils sont au cinéma.,CINÉMA IX-3-PL ÊTRE,lieux,IX-3-PL CINÉMA,False
Je suis à la plage.,PLAGE IX-1 ÊTRE,lieux,IX-1 PLAGE,False
Nous allons à l'université.,UNIVERSITÉ IX-1-PL ALLER,lieux,IX-1-PL UNIVERSITÉ ALLER,False
Elle est à la gare.,GARE IX-3 ÊTRE,lieux,IX-3 GARE,False
Tu vas à l'hôpital.,HÔPITAL IX-2 ALLER,lieux,TU HÔPITAL ALLER,False
Ils sont à la poste.,POSTE IX-3-PL ÊTRE,lieux,IX-3-PL POSTE,False
Je suis au stade.,STADE IX-1 ÊTRE,lieux,IX-1 STADE,False
Nous allons au travail.,TRAVAIL IX-1-PL ALLER,lieux,IX-1-PL TRAVAIL ALLER,False
Elle est à la piscine.,PISCINE IX-3 ÊTRE,lieux,IX-3 PISCINE,False
Tu vas au musée.,MUSÉE IX-2 ALLER,lieux,TU MUSÉE ALLER,False
Ils sont à la bibliothèque.,BIBLIOTHÈQUE IX-3-PL ÊTRE,lieux,IX-3-PL BIBLIOTHÈQUE,False
Je suis au parc.,PARC IX-1 ÊTRE,lieux,IX-1 PARC,False
Elle est au cinéma.,CINÉMA IX-3 ÊTRE,lieux,IX-3 CINÉMA,False
Tu vas à la plage.,PLAGE IX-2 ALLER,lieux,TU PLAGE ALLER,False
Ils sont à l'université.,UNIVERSITÉ IX-3-PL ÊTRE,lieux,IX-3-PL UNIVERSITÉ,False
Je suis à la gare.,GARE IX-1 ÊTRE,lieux,IX-1 GARE,False
Nous allons à l'hôpital.,HÔPITAL IX-1-PL ALLER,lieux,IX-1-PL HÔPITAL ALLER,False
Elle est à la poste.,POSTE IX-3 ÊTRE,lieux,IX-3 POSTE,False
Tu vas au stade.,STADE IX-2 ALLER,lieux,TU STADE ALLER,False
Ils sont au travail.,TRAVAIL IX-3-PL ÊTRE,lieux,IX-3-PL TRAVAIL,False
Ma voiture est rouge.,POSS-1 VOITURE ROUGE,possessifs,VOITURE POSS-1 ROUGE,False
Ton sac est lourd.,POSS-2 SAC LOURD,possessifs,SAC POSS-2 LOURD,False
Sa sœur est médecin.,POSS-3 SŒUR MÉDECIN,possessifs,SŒUR POSS-3 MÉDECIN,False
Notre chien aboie beaucoup.,POSS-1-PL CHIEN ABOYER BEACOUP,possessifs,CHIEN POSS-1-PL BEAUCOUP ABOYER,False
Votre maison est belle.,POSS-2-PL MAISON BELLE,possessifs,MAISON POSS-2-PL BEL,False
Leur voiture est rapide.,POSS-3-PL VOITURE RAPIDE,possessifs,VOITURE POSS-3-PL RAPIDE,False
Ma mère fait du pain.,POSS-1 MÈRE PAIN FAIRE,possessifs,MÈRE POSS-1 PAIN FAIRE,False
Ton frère joue au foot.,POSS-2 FRÈRE FOOT JOUER,possessifs,FRÈRE POSS-2 FOOT JOUER,False
Son ordinateur est neuf.,POSS-3 ORDINATEUR NEUF,possessifs,ORDINATEUR POSS-3 NEUF,False
Notre prof est sympa.,POSS-1-PL PROF SYMPA,possessifs,PROF POSS-1-PL SYMPA,False
Votre fils est grand.,POSS-2-PL FILS GRAND,possessifs,FILS POSS-2-PL GRAND,False
Leur fille est intelligente.,POSS-3-PL FILLE INTELLIGENTE,possessifs,FILLE POSS-3-PL INTELLIGENT,False
Ma sœur aime les pommes.,POSS-1 SŒUR POMME AIMER,possessifs,SŒUR POSS-1 POMME+ AIMER,False
Ton père travaille beaucoup.,POSS-2 PÈRE TRAVAIL BEACOUP,possessifs,PÈRE POSS-2 BEAUCOUP TRAVAILLER,False
Son chat est noir.,POSS-3 CHAT NOIR,possessifs,CHAT POSS-3 NOIR,False
Notre maison est spacieuse.,POSS-1-PL MAISON SPACIEUX,possessifs,MAISON POSS-1-PL SPACIEUX,False
Votre chien est mignon.,POSS-2-PL CHIEN MIGNON,possessifs,CHIEN POSS-2-PL MIGNON,False
Leur voiture est propre.,POSS-3-PL VOITURE PROPRE,possessifs,VOITURE POSS-3-PL PROPRE,False
Ma tante habite en ville.,POSS-1 TANTE VILLE HABITER,possessifs,POSS-1 TANTE VILLE HABITER,True
Ton oncle est médecin.,POSS-2 ONCLE MÉDECIN,possessifs,ONCLE POSS-2 MÉDECIN,False
Son cousin est sympa.,POSS-3 COUSIN SYMPA,possessifs,COUSIN POSS-3 SYMPA,False
Notre voiture est grande.,POSS-1-PL VOITURE GRAND,possessifs,VOITURE POSS-1-PL GRAND,False
Votre fils est fort.,POSS-2-PL FILS FORT,possessifs,FILS POSS-2-PL FORT,False
Leur fille est gentille.,POSS-3-PL FILLE GENTIL,possessifs,FILLE POSS-3-PL GENTILLER,False
Ma mère fait du vélo.,POSS-1 MÈRE VÉLO FAIRE,possessifs,MÈRE POSS-1 VÉLO FAIRE,False
Ton frère joue au tennis.,POSS-2 FRÈRE TENNIS JOUER,possessifs,FRÈRE POSS-2 TENNIS JOUER,False
Son ordinateur est rapide.,POSS-3 ORDINATEUR RAPIDE,possessifs,ORDINATEUR POSS-3 RAPIDE,False
Notre prof est patient.,POSS-1-PL PROF PATIENT,possessifs,PROF POSS-1-PL PATIENT,False
Votre fils est intelligent.,POSS-2-PL FILS INTELLIGENT,possessifs,FILS POSS-2-PL INTELLIGENT,False
Leur fille est belle.,POSS-3-PL FILLE BELLE,possessifs,FILLE POSS-3-PL BEL,False
