fr,gloss,category
Vous prescrivez une analyse de cheveux.,IX-2-PL CHEVEUX ANALYSE,svo_simple
Ils prescrivent une analyse de peau.,IX-3-PL PEAU ANALYSE,svo_simple
Je prescris une analyse de moelle osseuse.,IX-1 MOELLE OSSEUSE ANALYSE,svo_simple
Tu prescris une analyse de liquide céphalo-rachidien.,IX-2 LIQUIDE CÉPHALO-RACHIDIEN ANALYSE,svo_simple
Il prescrit une analyse de liquide amniotique.,IX-3 LIQUIDE AMNIOTIQUE ANALYSE,svo_simple
Elle prescrit une analyse de liquide synovial.,IX-3 LIQUIDE SYNOVIAL ANALYSE,svo_simple
Nous prescrivons une analyse de liquide pleural.,IX-1-PL LIQUIDE PLEURAL ANALYSE,svo_simple
Vous prescrivez une analyse de liquide péricardique.,IX-2-PL LIQUIDE PÉRICARDIQUE ANALYSE,svo_simple
Ils prescrivent une analyse de liquide péritonéal.,IX-3-PL LIQUIDE PÉRITONÉAL ANALYSE,svo_simple
Je prescris une analyse de liquide lacrymal.,IX-1 LIQUIDE LACRYMAL ANALYSE,svo_simple
Je mange une banane.,IX-1 BANANE MANGER,svo_simple
Tu bois du lait.,IX-2 LAIT BOIRE,svo_simple
Il mange une pomme.,IX-3 POMME MANGER,svo_simple
Elle mange une orange.,IX-3 ORANGE MANGER,svo_simple
Nous mangeons des fraises.,IX-1-PL FRAISE+ MANGER,svo_simple
Ils mangent des cerises.,IX-3-PL CERISE+ MANGER,svo_simple
Je mange du pain.,IX-1 PAIN MANGER,svo_simple
Tu manges des croissants.,IX-2 CROISSANT+ MANGER,svo_simple
Il mange un sandwich.,IX-3 SANDWICH MANGER,svo_simple
Elle mange des frites.,IX-3 FRITE+ MANGER,svo_simple
Nous mangeons des pâtes.,IX-1-PL PÂTE+ MANGER,svo_simple
Vous mangez des légumes.,IX-2-PL LÉGUME+ MANGER,svo_simple
Ils mangent des carottes.,IX-3-PL CAROTTE+ MANGER,svo_simple
Je mange des tomates.,IX-1 TOMATE+ MANGER,svo_simple
Tu manges des pommes de terre.,IX-2 POMME-DE-TERRE+ MANGER,svo_simple
Il mange des haricots.,IX-3 HARICOT+ MANGER,svo_simple
Elle mange des pois.,IX-3 POIS MANGER,svo_simple
Nous mangeons des épinards.,IX-1-PL ÉPINARD+ MANGER,svo_simple
Vous mangez des salades.,IX-2-PL SALADE+ MANGER,svo_simple
Ils mangent des betteraves.,IX-3-PL BETTERAVE+ MANGER,svo_simple
Je mange des champignons.,IX-1 CHAMPIGNON+ MANGER,svo_simple
Tu manges des concombres.,IX-2 CONCOMBRE+ MANGER,svo_simple
Il mange des courgettes.,IX-3 COURGETTE+ MANGER,svo_simple
Elle mange des poivrons.,IX-3 POIVRON+ MANGER,svo_simple
Nous mangeons des aubergines.,IX-1-PL AUBERGINE+ MANGER,svo_simple
Vous mangez des oignons.,IX-2-PL OIGNON+ MANGER,svo_simple
Ils mangent des poireaux.,IX-3-PL POIREAU+ MANGER,svo_simple
Je mange des carottes.,IX-1 CAROTTE+ MANGER,svo_simple
Tu manges des radis.,IX-2 RADIS+ MANGER,svo_simple
Il mange des navets.,IX-3 NAVET+ MANGER,svo_simple
Elle mange des petits pois.,IX-3 PETIT-POIS+ MANGER,svo_simple
Nous mangeons des choux.,IX-1-PL CHOU+ MANGER,svo_simple
Vous mangez des épinards.,IX-2-PL ÉPINARD+ MANGER,svo_simple
Ils mangent des brocolis.,IX-3-PL BROCOLI+ MANGER,svo_simple
Je mange des choux-fleurs.,IX-1 CHOUX-FLEUR+ MANGER,svo_simple
Tu manges des choux de Bruxelles.,IX-2 CHOUX-BRUXELLE+ MANGER,svo_simple
Il mange des choux-fleurs.,IX-3 CHOUX-FLEUR+ MANGER,svo_simple
Elle mange des choux de Bruxelles.,IX-3 CHOUX-BRUXELLE+ MANGER,svo_simple
Je dessine un chat.,IX-1 CHAT DESSINER,svo_simple
Tu écris une lettre.,IX-2 LETTRE ÉCRIRE,svo_simple
Il boit du lait.,IX-3 LAIT BOIRE,svo_simple
Elle porte une robe.,IX-3 ROBE PORTER,svo_simple
Nous chantons une chanson.,IX-1-PL CHANSON CHANTER,svo_simple
Vous lisez un journal.,IX-2-PL JOURNAL LIRE,svo_simple
Ils jouent au ballon.,IX-3-PL BALLON JOUER,svo_simple
Tu bois de l'eau.,IX-2 EAU BOIRE,svo_simple
Elle boit du jus.,IX-3 JUS BOIRE,svo_simple
Nous mangeons des fruits.,IX-1-PL FRUIT+ MANGER,svo_simple
Vous buvez du café.,IX-2-PL CAFÉ BOIRE,svo_simple
Ils mangent des sandwiches.,IX-3-PL SANDWICH+ MANGER,svo_simple
Je travaille au bureau.,IX-1 BUREAU TRAVAILLER,svo_simple
Tu écris un rapport.,IX-2 RAPPORT ÉCRIRE,svo_simple
Il utilise un ordinateur.,IX-3 ORDINATEUR UTILISER,svo_simple
Elle range des dossiers.,IX-3 DOSSIER+ RANGER,svo_simple
Nous imprimons des documents.,IX-1-PL DOCUMENT+ IMPRIMER,svo_simple
Vous envoyez des emails.,IX-2-PL EMAIL+ ENVOYER,svo_simple
Je réponds au téléphone.,IX-1 TÉLÉPHONE RÉPONDRE,svo_simple
Tu prépares un dossier.,IX-2 DOSSIER PRÉPARER,svo_simple
Il imprime des feuilles.,IX-3 FEUILLE+ IMPRIMER,svo_simple
Elle envoie un fax.,IX-3 FAX ENVOYER,svo_simple
Nous classons des documents.,IX-1-PL DOCUMENT+ CLASSER,svo_simple
Vous utilisez un stylo.,IX-2-PL STYLO UTILISER,svo_simple
Ils ouvrent une fenêtre.,IX-3-PL FENÊTRE OUVRIR,svo_simple
Je prends des notes.,IX-1 NOTE+ PRENDRE,svo_simple
Tu utilises un ordinateur.,IX-2 ORDINATEUR UTILISER,svo_simple
Il range son bureau.,IX-3 BUREAU RANGER,svo_simple
Elle envoie un email.,IX-3 EMAIL ENVOYER,svo_simple
Vous utilisez un téléphone.,IX-2-PL TÉLÉPHONE UTILISER,svo_simple
Je joue aux échecs.,IX-1 ÉCHEC JOUER,svo_simple
Tu danses avec élégance.,IX-2 DANSE ÉLÉGANCE,svo_simple
Il construit un château de sable.,IX-3 SABLE CHÂTEAU CONSTRUIRE,svo_simple
Elle peint un paysage magnifique.,IX-3 PAYSAGE MAGNIFIQUE PEINDRE,svo_simple
Nous chantons en chœur.,IX-1-PL CHANT CHŒUR,svo_simple
Vous organisez une fête.,IX-2-PL FÊTE ORGANISER,svo_simple
Ils regardent un film d'action.,IX-3-PL FILM ACTION REGARDER,svo_simple
Je lis une bande dessinée.,IX-1 BANDE DESSINÉE LIRE,svo_simple
Tu écris une lettre à ton ami.,IX-2 AMI LETTRE ÉCRIRE,svo_simple
Il joue du piano.,IX-3 PIANO JOUER,svo_simple
Elle fait du vélo.,IX-3 VÉLO FAIRE,svo_simple
Nous allons au théâtre.,IX-1-PL THÉÂTRE ALLER,svo_simple
Vous jouez au football.,IX-2-PL FOOTBALL JOUER,svo_simple
Ils fabriquent un avion en papier.,IX-3-PL PAPIER AVION FABRIQUER,svo_simple
Je collectionne des timbres.,IX-1 TIMBRE COLLECTIONNER,svo_simple
Tu fais des puzzles.,IX-2 PUZZLE FAIRE,svo_simple
Il dessine un dragon.,IX-3 DRAGON DESSINER,svo_simple
Elle joue aux cartes.,IX-3 CARTE JOUER,svo_simple
Nous faisons du ski.,IX-1-PL SKI FAIRE,svo_simple
Vous regardez un match de tennis.,IX-2-PL TENNIS MATCH REGARDER,svo_simple
Ils construisent une cabane.,IX-3-PL CABANE CONSTRUIRE,svo_simple
Je fais du patin à glace.,IX-1 GLACE PATIN FAIRE,svo_simple
Tu joues aux échecs.,IX-2 ÉCHEC JOUER,svo_simple
Il fait du surf.,IX-3 SURF FAIRE,svo_simple
Elle fait du roller.,IX-3 ROLLER FAIRE,svo_simple
Nous faisons du vélo.,IX-1-PL VÉLO FAIRE,svo_simple
Vous jouez au basket.,IX-2-PL BASKET JOUER,svo_simple
Ils font du skateboard.,IX-3-PL SKATEBOARD FAIRE,svo_simple
Je fais du parachute.,IX-1 PARACHUTE FAIRE,svo_simple
Tu fais du deltaplane.,IX-2 DELTA PLANE FAIRE,svo_simple
Il fait du parapente.,IX-3 PARAPENTE FAIRE,svo_simple
Elle fait du deltaplane.,IX-3 DELTA PLANE FAIRE,svo_simple
Nous faisons du surf.,IX-1-PL SURF FAIRE,svo_simple
Vous faites du ski nautique.,IX-2-PL NAUTIQUE SKI FAIRE,svo_simple
Ils font du snowboard.,IX-3-PL SNOWBOARD FAIRE,svo_simple
Je fais du canoë.,IX-1 CANOË FAIRE,svo_simple
Tu fais du kayak.,IX-2 KAYAK FAIRE,svo_simple
Il fait du canoë.,IX-3 CANOË FAIRE,svo_simple
Elle fait du kayak.,IX-3 KAYAK FAIRE,svo_simple
Nous faisons du canoë.,IX-1-PL CANOË FAIRE,svo_simple
Vous faites du kayak.,IX-2-PL KAYAK FAIRE,svo_simple
Ils font du canoë.,IX-3-PL CANOË FAIRE,svo_simple
Je fais du kayak.,IX-1 KAYAK FAIRE,svo_simple
Tu fais du canoë.,IX-2 CANOË FAIRE,svo_simple
Il fait du kayak.,IX-3 KAYAK FAIRE,svo_simple
Elle fait du canoë.,IX-3 CANOË FAIRE,svo_simple
Nous faisons du kayak.,IX-1-PL KAYAK FAIRE,svo_simple
Vous faites du canoë.,IX-2-PL CANOË FAIRE,svo_simple
Je cloue un clou.,IX-1 CLOU CLOUER,svo_simple
Tu vis un trou.,IX-2 TROU VISER,svo_simple
Il scie une planche.,IX-3 PLANCHE SCIER,svo_simple
Nous peignons la porte.,IX-1-PL PORTE PEINDRE,svo_simple
Vous percez un mur.,IX-2-PL MUR PERCER,svo_simple
Ils collent du papier.,IX-3-PL PAPIER COLLER,svo_simple
Je ponce une table.,IX-1 TABLE PONCER,svo_simple
Tu serres une vis.,IX-2 VIS SERRER,svo_simple
Elle perce un trou.,IX-3 TROU PERCER,svo_simple
Nous martelons un clou.,IX-1-PL CLOU MARTELER,svo_simple
Vous sciez du bois.,IX-2-PL BOIS SCIER,svo_simple
Ils peignent une chaise.,IX-3-PL CHAISE PEINDRE,svo_simple
Je colle du papier.,IX-1 PAPIER COLLER,svo_simple
Tu ponces une planche.,IX-2 PLANCHE PONCER,svo_simple
Elle visse une vis.,IX-3 VIS VISER,svo_simple
Nous perçons un mur.,IX-1-PL MUR PERCER,svo_simple
Vous marteler un clou.,IX-2-PL CLOU MARTELER,svo_simple
Ils scient du bois.,IX-3-PL BOIS SCIER,svo_simple
Je peins une porte.,IX-1 PORTE PEINDRE,svo_simple
Tu colles du papier.,IX-2 PAPIER COLLER,svo_simple
Elle ponce une table.,IX-3 TABLE PONCER,svo_simple
Nous serrons une vis.,IX-1-PL VIS SERRER,svo_simple
Vous percez un trou.,IX-2-PL TROU PERCER,svo_simple
Ils martelent un clou.,IX-3-PL CLOU MARTELER,svo_simple
Je scie une planche.,IX-1 PLANCHE SCIER,svo_simple
Tu peins une chaise.,IX-2 CHAISE PEINDRE,svo_simple
Elle colle du papier.,IX-3 PAPIER COLLER,svo_simple
Nous ponçons une table.,IX-1-PL TABLE PONCER,svo_simple
Vous vissez une vis.,IX-2-PL VIS VISER,svo_simple
Ils percent un mur.,IX-3-PL MUR PERCER,svo_simple
Je martèle un clou.,IX-1 CLOU MARTELER,svo_simple
Tu scies du bois.,IX-2 BOIS SCIER,svo_simple
Elle peint une porte.,IX-3 PORTE PEINDRE,svo_simple
Nous collons du papier.,IX-1-PL PAPIER COLLER,svo_simple
Vous poncez une planche.,IX-2-PL PLANCHE PONCER,svo_simple
Ils serrent une vis.,IX-3-PL VIS SERRER,svo_simple
Je perce un trou.,IX-1 TROU PERCER,svo_simple
Tu martèles un clou.,IX-2 CLOU MARTELER,svo_simple
Elle scie une planche.,IX-3 PLANCHE SCIER,svo_simple
Nous peignons une chaise.,IX-1-PL CHAISE PEINDRE,svo_simple
Vous collez du papier.,IX-2-PL PAPIER COLLER,svo_simple
Ils poncent une table.,IX-3-PL TABLE PONCER,svo_simple
Je visse une vis.,IX-1 VIS VISER,svo_simple
Tu perces un mur.,IX-2 MUR PERCER,svo_simple
Elle martèle un clou.,IX-3 CLOU MARTELER,svo_simple
Nous scions du bois.,IX-1-PL BOIS SCIER,svo_simple
Vous peignez une porte.,IX-2-PL PORTE PEINDRE,svo_simple
Je ponce une planche.,IX-1 PLANCHE PONCER,svo_simple
Je lis une histoire.,IX-1 HISTOIRE LIRE,svo_simple
Tu dessines un chat.,IX-2 CHAT DESSINER,svo_simple
Il écrit un poème.,IX-3 POÈME ÉCRIRE,svo_simple
Elle chante une chanson.,IX-3 CHANSON CHANTER,svo_simple
Nous lisons des livres.,IX-1-PL LIVRE+ LIRE,svo_simple
Vous écoutez une fable.,IX-2-PL FABLE ÉCOUTER,svo_simple
Ils racontent une légende.,IX-3-PL LÉGENDE RACONTER,svo_simple
Je feuillette un magazine.,IX-1 MAGAZINE FEUILLETER,svo_simple
Tu colories un dessin.,IX-2 DESSIN COLORIER,svo_simple
Il tourne les pages d'un roman.,IX-3 ROMAN PAGE TOURNER,svo_simple
Elle lit une bande dessinée.,IX-3 BANDE DESSINÉE LIRE,svo_simple
Nous écrivons une lettre.,IX-1-PL LETTRE ÉCRIRE,svo_simple
Vous lisez un conte.,IX-2-PL CONTE LIRE,svo_simple
Ils racontent une histoire.,IX-3-PL HISTOIRE RACONTER,svo_simple
Je feuillette un journal.,IX-1 JOURNAL FEUILLETER,svo_simple
Tu colories un livre.,IX-2 LIVRE COLORIER,svo_simple
Il tourne les pages d'un magazine.,IX-3 MAGAZINE PAGE TOURNER,svo_simple
Elle lit une fable.,IX-3 FABLE LIRE,svo_simple
Nous écrivons un poème.,IX-1-PL POÈME ÉCRIRE,svo_simple
Vous lisez une légende.,IX-2-PL LÉGENDE LIRE,svo_simple
Ils racontent une chanson.,IX-3-PL CHANSON RACONTER,svo_simple
Je feuillette un roman.,IX-1 ROMAN FEUILLETER,svo_simple
Tu colories une bande dessinée.,IX-2 BANDE DESSINÉE COLORIER,svo_simple
Il tourne les pages d'un conte.,IX-3 CONTE PAGE TOURNER,svo_simple
Elle lit une lettre.,IX-3 LETTRE LIRE,svo_simple
Nous écrivons un journal.,IX-1-PL JOURNAL ÉCRIRE,svo_simple
Vous lisez un magazine.,IX-2-PL MAGAZINE LIRE,svo_simple
Ils racontent un poème.,IX-3-PL POÈME RACONTER,svo_simple
Je feuillette une fable.,IX-1 FABLE FEUILLETER,svo_simple
Tu colories une légende.,IX-2 LÉGENDE COLORIER,svo_simple
Il tourne les pages d'une chanson.,IX-3 CHANSON PAGE TOURNER,svo_simple
Elle lit une histoire.,IX-3 HISTOIRE LIRE,svo_simple
Nous écrivons un roman.,IX-1-PL ROMAN ÉCRIRE,svo_simple
Vous lisez une bande dessinée.,IX-2-PL BANDE DESSINÉE LIRE,svo_simple
Ils racontent un conte.,IX-3-PL CONTE RACONTER,svo_simple
Je feuillette une lettre.,IX-1 LETTRE FEUILLETER,svo_simple
Tu colories un journal.,IX-2 JOURNAL COLORIER,svo_simple
Il tourne les pages d'un livre.,IX-3 LIVRE PAGE TOURNER,svo_simple
Elle lit un dessin.,IX-3 DESSIN LIRE,svo_simple
Nous écrivons une fable.,IX-1-PL FABLE ÉCRIRE,svo_simple
Je feuillette un poème.,IX-1 POÈME FEUILLETER,svo_simple
Tu colories un roman.,IX-2 ROMAN COLORIER,svo_simple
Il tourne les pages d'une histoire.,IX-3 HISTOIRE PAGE TOURNER,svo_simple
Nous écrivons un conte.,IX-1-PL CONTE ÉCRIRE,svo_simple
Ils racontent un livre.,IX-3-PL LIVRE RACONTER,svo_simple
Je regarde un film.,IX-1 FILM REGARDER,svo_simple
Tu écris un scénario.,IX-2 SCÉNARIO ÉCRIRE,svo_simple
Elle écoute de la musique.,IX-3 MUSIQUE ÉCOUTER,svo_simple
Nous allons au cinéma.,IX-1-PL CINÉMA ALLER,svo_simple
Vous regardez une série.,IX-2-PL SÉRIE REGARDER,svo_simple
Ils critiquent un film.,IX-3-PL FILM CRITIQUER,svo_simple
Je prépare du popcorn.,IX-1 POPCORN PRÉPARER,svo_simple
Tu critiques un acteur.,IX-2 ACTEUR CRITIQUER,svo_simple
Elle adore les séries policières.,IX-3 SÉRIE+ POLICIER ADORER,svo_simple
Nous aimons les films d'action.,IX-1-PL FILM+ ACTION AIMER,svo_simple
Vous regardez un documentaire.,IX-2-PL DOCUMENTAIRE REGARDER,svo_simple
Ils adorent les comédies.,IX-3-PL COMEDIE+ ADORER,svo_simple
Je prends des popcorn.,IX-1 POPCORN PRENDRE,svo_simple
Tu achètes un DVD.,IX-2 DVD ACHETER,svo_simple
Elle lit un magazine de cinéma.,IX-3 MAGAZINE+ CINÉMA LIRE,svo_simple
Nous regardons un film d'horreur.,IX-1-PL FILM HORREUR REGARDER,svo_simple
Vous achetez des tickets.,IX-2-PL TICKET+ ACHETER,svo_simple
Ils critiquent un réalisateur.,IX-3-PL RÉALISATEUR CRITIQUER,svo_simple
Je regarde une série dramatique.,IX-1 SÉRIE+ DRAMATIQUE REGARDER,svo_simple
Tu écris une critique.,IX-2 CRITIQUE ÉCRIRE,svo_simple
Elle adore les films romantiques.,IX-3 FILM+ ROMANTIQUE ADORER,svo_simple
Nous allons voir un film.,IX-1-PL FILM VOIR ALLER,svo_simple
Vous achetez des bonbons.,IX-2-PL BONBON+ ACHETER,svo_simple
Ils regardent une série fantastique.,IX-3-PL SÉRIE+ FANTASTIQUE REGARDER,svo_simple
Je prends un soda.,IX-1 SODA PRENDRE,svo_simple
Tu critiques une actrice.,IX-2 ACTRICE CRITIQUER,svo_simple
Elle adore les films de science-fiction.,IX-3 FILM+ SCIENCE-FICTION ADORER,svo_simple
Nous regardons un film d'aventure.,IX-1-PL FILM AVENTURE REGARDER,svo_simple
Vous achetez des places.,IX-2-PL PLACE+ ACHETER,svo_simple
Ils critiquent un producteur.,IX-3-PL PRODUCTEUR CRITIQUER,svo_simple
Je regarde un film d'animation.,IX-1 FILM ANIMATION REGARDER,svo_simple
Tu écris un article.,IX-2 ARTICLE ÉCRIRE,svo_simple
Elle adore les séries comiques.,IX-3 SÉRIE+ COMIQUE ADORER,svo_simple
Nous allons au cinéma ce soir.,IX-1-PL CINÉMA SOIR ALLER,svo_simple
Vous regardez un film d'action.,IX-2-PL FILM ACTION REGARDER,svo_simple
Ils adorent les comédies romantiques.,IX-3-PL COMEDIE+ ROMANTIQUE ADORER,svo_simple
Je prends des cacahuètes.,IX-1 CACAHUÈTE+ PRENDRE,svo_simple
Tu critiques un film d'horreur.,IX-2 FILM HORREUR CRITIQUER,svo_simple
Elle adore les séries dramatiques.,IX-3 SÉRIE+ DRAMATIQUE ADORER,svo_simple
Nous regardons un film policier.,IX-1-PL FILM POLICIER REGARDER,svo_simple
Vous achetez des snacks.,IX-2-PL SNACK+ ACHETER,svo_simple
Ils critiquent une série fantastique.,IX-3-PL SÉRIE+ FANTASTIQUE CRITIQUER,svo_simple
Je regarde un film de science-fiction.,IX-1 FILM SCIENCE-FICTION REGARDER,svo_simple
